customer_id,First_Name,Last_Name,gender,DOB,AGE,past_3_years_bike_related_purchases,job_industry_category,wealth_segment,deceased_indicator,tenure,Owns_Car,Address,Postcode,State,Country,property_valuation
1,Laraine,Medendorp,Female,10/12/1953,69,93,Health,Mass Customer,N,11,Yes,060 Morning Avenue,2016,New South Wales,Australia,10
2,Eli,Bockman,Male,12/16/1980,42,81,Financial Services,Mass Customer,N,16,Yes,6 Meadow Vale Court,2153,New South Wales,Australia,10
4,Talbot,,Male,10/3/1961,61,33,IT,Mass Customer,N,7,No,0 Holy Cross Court,4211,Queensland,Australia,9
5,Sheila-kathryn,Calton,Female,5/13/1977,45,56,n/a,Affluent Customer,N,8,Yes,17979 Del Mar Point,2448,New South Wales,Australia,4
6,Curr,Duckhouse,Male,9/16/1966,56,35,Retail,High Net Worth,N,13,Yes,9 Oakridge Court,3216,Victoria,Australia,9
7,Fina,Merali,Female,2/23/1976,46,6,Financial Services,Affluent Customer,N,11,Yes,4 Delaware Trail,2210,New South Wales,Australia,9
8,Rod,Inder,Male,3/30/1962,60,31,n/a,Mass Customer,N,7,No,49 Londonderry Lane,2650,New South Wales,Australia,4
9,Mala,Lind,Female,3/10/1973,49,97,Argiculture,Affluent Customer,N,8,Yes,97736 7th Trail,2023,New South Wales,Australia,12
11,Uriah,Bisatt,Male,4/30/1954,68,99,Property,Mass Customer,N,9,No,93405 Ludington Park,3044,Victoria,Australia,8
12,Sawyere,Flattman,Male,7/21/1994,28,58,Manufacturing,Mass Customer,N,8,No,44339 Golden Leaf Alley,4557,Queensland,Australia,4
13,Gabriele,Norcross,Male,2/15/1955,67,38,Financial Services,High Net Worth,N,8,Yes,2 Sutherland Street,3799,Victoria,Australia,6
14,Rayshell,Kitteman,Female,3/25/1983,39,85,Financial Services,Affluent Customer,N,6,No,9 Mcbride Trail,2760,New South Wales,Australia,8
15,Erroll,Radage,Male,7/13/2000,22,91,Manufacturing,Mass Customer,N,1,No,9861 New Castle Avenue,2428,New South Wales,Australia,9
16,Harlin,Parr,Male,2/27/1977,45,38,n/a,Mass Customer,N,18,Yes,52 Moland Street,3331,Victoria,Australia,4
17,Heath,Faraday,Male,3/19/1962,60,57,n/a,Affluent Customer,N,15,Yes,82391 Kensington Lane,3058,Victoria,Australia,9
18,Marjie,Neasham,Female,7/6/1967,55,79,n/a,Affluent Customer,N,11,No,092 2nd Alley,2135,New South Wales,Australia,12
19,Sorcha,Keyson,Female,4/15/2001,21,76,Manufacturing,High Net Worth,N,1,No,59 Spaight Circle,2233,New South Wales,Australia,9
20,Basile,Firth,Male,8/13/1980,42,72,Manufacturing,Mass Customer,N,11,No,032 Bartelt Crossing,2444,New South Wales,Australia,8
21,Mile,Cammocke,Male,9/20/1980,42,74,Manufacturing,Affluent Customer,N,16,Yes,18 Jenna Center,2650,New South Wales,Australia,7
24,Kim,Skpsey,Female,12/3/1977,45,55,Argiculture,Mass Customer,N,15,Yes,3 Cordelia Plaza,2153,New South Wales,Australia,10
25,Geoff,Assaf,Male,12/2/1976,46,72,Financial Services,Mass Customer,N,21,Yes,28 5th Center,4413,Queensland,Australia,3
26,Trixi,Ginnelly,Female,6/10/1978,44,12,Financial Services,Mass Customer,N,16,Yes,52 Carey Alley,4740,Queensland,Australia,5
